Symptoms,Disease,Description,Precautions,Medications,Doctor_Recommendation
"experiencing abdominal cramps, vomiting, diarrhea, fever",Food Poisoning,Illness caused by eating contaminated food.,"Rest, stay hydrated with sips of water or clear broths.","Oral rehydration salts, Bismuth subsalicylate.","Consult a doctor if symptoms last more than a few days, or if you have a very high fever."
"feeling sweats, high fever, fatigue, headache",Influenza (Flu),A viral infection that attacks your respiratory system.,"Strict bed rest, isolate yourself, stay hydrated.","Oseltamivir (if prescribed early), Paracetamol for fever.",Consult a doctor immediately if you experience shortness of breath or persistent chest pain.
"experiencing prolonged high fever, weakness, headache, stomach pain",Typhoid,"A bacterial infection that can lead to a high fever, diarrhea, and vomiting.","Drink boiled or bottled water, avoid raw foods.","Antibiotics (prescription only), Paracetamol for fever.",Requires immediate medical consultation for a proper antibiotic course.
"suffering from sensitivity to sound, vomiting, sensitivity to light, throbbing pain",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"suffering from shortness of breath, fever, fatigue, sore throat",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
"feeling chills, high fever, sweats, muscle aches",Influenza (Flu),A viral infection that attacks your respiratory system.,"Strict bed rest, isolate yourself, stay hydrated.","Oseltamivir (if prescribed early), Paracetamol for fever.",Consult a doctor immediately if you experience shortness of breath or persistent chest pain.
"fever, loss of taste, fatigue, dry cough, body aches, sore throat, shortness of breath, loss of smell",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
"muscle aches, high fever",Influenza (Flu),A viral infection that attacks your respiratory system.,"Strict bed rest, isolate yourself, stay hydrated.","Oseltamivir (if prescribed early), Paracetamol for fever.",Consult a doctor immediately if you experience shortness of breath or persistent chest pain.
"suffering from nasal congestion, itchy throat, runny nose, watery eyes, itchy eyes, sneezing",Allergic Rhinitis,"An allergic response causing itchy, watery eyes, sneezing, and other similar symptoms.","Avoid allergens (dust, pollen), keep indoors during high pollen seasons.","Antihistamines (Cetirizine, Loratadine), Nasal corticosteroids.",Consult an allergist if symptoms are severe and unresponsive to over-the-counter medicine.
"nausea, severe headache",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"experiencing chills, dry cough, muscle aches, fatigue",Influenza (Flu),A viral infection that attacks your respiratory system.,"Strict bed rest, isolate yourself, stay hydrated.","Oseltamivir (if prescribed early), Paracetamol for fever.",Consult a doctor immediately if you experience shortness of breath or persistent chest pain.
"feeling itchy eyes, watery eyes",Allergic Rhinitis,"An allergic response causing itchy, watery eyes, sneezing, and other similar symptoms.","Avoid allergens (dust, pollen), keep indoors during high pollen seasons.","Antihistamines (Cetirizine, Loratadine), Nasal corticosteroids.",Consult an allergist if symptoms are severe and unresponsive to over-the-counter medicine.
"suffering from cough, congestion",Common Cold,A common viral infection of the nose and throat.,"Rest, drink plenty of fluids, wash hands often.","Paracetamol, Ibuprofen, Decongestants, Cough syrup.",Consult if symptoms last more than a week or if you develop a high fever.
"feeling nausea, weakness, vomiting, fever",Food Poisoning,Illness caused by eating contaminated food.,"Rest, stay hydrated with sips of water or clear broths.","Oral rehydration salts, Bismuth subsalicylate.","Consult a doctor if symptoms last more than a few days, or if you have a very high fever."
"coughing episodes, chest tightness, wheezing",Asthma,A condition in which your airways narrow and swell and may produce extra mucus.,"Avoid triggers (smoke, strong odors), carry an inhaler always.","Bronchodilators (Albuterol inhaler), Inhaled corticosteroids.",Immediate emergency care required for severe shortness of breath or if an inhaler doesn't help.
"experiencing stomach cramps, nausea",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"experiencing body aches, fatigue, dry cough",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
"experiencing muscle aches, diarrhea, nausea, low-grade fever, vomiting, stomach cramps",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"i have loss of appetite, weakness, prolonged high fever, stomach pain, rash",Typhoid,"A bacterial infection that can lead to a high fever, diarrhea, and vomiting.","Drink boiled or bottled water, avoid raw foods.","Antibiotics (prescription only), Paracetamol for fever.",Requires immediate medical consultation for a proper antibiotic course.
"feeling fatigue, rash, muscle pain, pain behind eyes, high fever, severe headache",Dengue Fever,A mosquito-borne viral disease occurring in tropical and subtropical areas.,"Use mosquito nets, wear long sleeves, use repellents.",Paracetamol for fever. STRICTLY AVOID Aspirin or Ibuprofen.,Hospitalization may be required; consult immediately if experiencing severe abdominal pain or bleeding.
"congestion, cough, mild fever",Common Cold,A common viral infection of the nose and throat.,"Rest, drink plenty of fluids, wash hands often.","Paracetamol, Ibuprofen, Decongestants, Cough syrup.",Consult if symptoms last more than a week or if you develop a high fever.
"weakness, loss of appetite, stomach pain, rash, prolonged high fever, headache",Typhoid,"A bacterial infection that can lead to a high fever, diarrhea, and vomiting.","Drink boiled or bottled water, avoid raw foods.","Antibiotics (prescription only), Paracetamol for fever.",Requires immediate medical consultation for a proper antibiotic course.
"feeling itchy throat, itchy eyes, nasal congestion, watery eyes, sneezing",Allergic Rhinitis,"An allergic response causing itchy, watery eyes, sneezing, and other similar symptoms.","Avoid allergens (dust, pollen), keep indoors during high pollen seasons.","Antihistamines (Cetirizine, Loratadine), Nasal corticosteroids.",Consult an allergist if symptoms are severe and unresponsive to over-the-counter medicine.
"suffering from fatigue, headache",Influenza (Flu),A viral infection that attacks your respiratory system.,"Strict bed rest, isolate yourself, stay hydrated.","Oseltamivir (if prescribed early), Paracetamol for fever.",Consult a doctor immediately if you experience shortness of breath or persistent chest pain.
"i have mild fever, runny nose, sore throat, sneezing",Common Cold,A common viral infection of the nose and throat.,"Rest, drink plenty of fluids, wash hands often.","Paracetamol, Ibuprofen, Decongestants, Cough syrup.",Consult if symptoms last more than a week or if you develop a high fever.
"experiencing prolonged high fever, headache, stomach pain, weakness, rash",Typhoid,"A bacterial infection that can lead to a high fever, diarrhea, and vomiting.","Drink boiled or bottled water, avoid raw foods.","Antibiotics (prescription only), Paracetamol for fever.",Requires immediate medical consultation for a proper antibiotic course.
"feeling coughing episodes, rapid breathing, chest tightness, wheezing, shortness of breath",Asthma,A condition in which your airways narrow and swell and may produce extra mucus.,"Avoid triggers (smoke, strong odors), carry an inhaler always.","Bronchodilators (Albuterol inhaler), Inhaled corticosteroids.",Immediate emergency care required for severe shortness of breath or if an inhaler doesn't help.
"feeling vomiting, nausea, severe headache, throbbing pain",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"experiencing nasal congestion, itchy throat",Allergic Rhinitis,"An allergic response causing itchy, watery eyes, sneezing, and other similar symptoms.","Avoid allergens (dust, pollen), keep indoors during high pollen seasons.","Antihistamines (Cetirizine, Loratadine), Nasal corticosteroids.",Consult an allergist if symptoms are severe and unresponsive to over-the-counter medicine.
